"id","profileName","text","date","title","rating","images"
"R13Z1BSD70DMKJ","Dan","
  Have had this for one day and the cover is already coming off. Nothing a little glue won’t fix, and that’s the downside of paperbacks that you have to put weight on to keep closed, in my opinion.BUT the inner content is well worth it. I’ve been wanting to learn programming for years but have often gone away discouraged because the tutorials and teachers randomly start throwing complicated problems at you out of nowhere.Not so with this book. It eases you into each topic, breaks it down very clearly, and has exercises throughout that you can follow along with. Make sure you follow along! There are specific exercises throughout, but I highly recommend typing out the example code and playing around with it/experimenting on your own as well. Then by the time you get to the exercises you’ll have a good idea about how to approach it.STICK WITH IT! I decided I wanted to learn to program 10 years ago! I would start for a week and then quit when it got too complicated and felt overwhelming. Then I’d come back to it a few years later, and same thing. Then it hit me one day, “If I had pushed through the first time and been patient, I’d have 10 years of experience as a programmer right now. Do I want to look back in another 10 years and feel that way again? Or do I want to push through this time so in 10 years I’ll actually have the experience under my belt!?”Easy answer!Stick with it. Be patient with yourself if things get too complicated or you “feel too dumb” to get it. If you hit a block, go back a few pages and go through it again. Everyone is selling “learn ____ quick!” books these days. It’s a good way to get random chunks of knowledge but a terrible way to master it. So be patient!And get this book. :). It makes things very simple to understand and really holds your hand through everything.
","Reviewed in the United States on July 4, 2019","Great inner content! Not that great outer quality. Still worth it!",4,""
"R6WKS7YWOKMBL","kdfuser","
  Just finished the book and followed the code all way, even did some of the ""Try this yourself"" exercises.  Very well organized.  6 stars on that.  Code in the book was accurate and worked as expected.  I didn't just try the code from the resource web site.  I actually typed in every line from the book and made it all the way to deployment.  (Quite an accomplishment, I say. :-)).Only one gripe - see pictures attached.  After 3 weeks of ownership, the book lost its clothing.  :-(I wonder if Mr Matthes will send me an autographed copy to replace my sad, broken, copy?  :-)
","Reviewed in the United States on August 15, 2019","Very enjoyable read",5,"https://images-na.ssl-images-amazon.com/images/I/81FisUGNGcL.jpg
https://images-na.ssl-images-amazon.com/images/I/81rQx50WO0L.jpg"
"R2MCPJMRB3G23","Marcel Dupasquier","
  For all who want to compare the 1st to the 2nd edition, here the Preface to the Second Edition.
","Reviewed in the United States on May 23, 2019","The updated preface",5,"https://images-na.ssl-images-amazon.com/images/I/71AgiJZBgXL.jpg
https://images-na.ssl-images-amazon.com/images/I/71PViqvt+9L.jpg
https://images-na.ssl-images-amazon.com/images/I/71mX+oGIyeL.jpg"
"R17D6VX0MH3SZY","Dear MR.J","
  What is good about it? It teaches you the basics of Python But it does not have any advanced materials inside.  Evey little example is well explained. It has a lot of examples are presented. It also asked readers to do exercises after concept.However, I wish it comes with an answer for those after chapter exercises. Otherwise, it becomes meaningless because you won't know if you got it or not. Overall, well explained but somewhat too much explanation. Thus, this might be good for people who do not have any programming skill. Also, words are simple and straightforward.Update: Thanks to the author reply, there are solutions online. But I still think it explained things too much. Thus, costed too much reading for a simple concept.
","Reviewed in the United States on June 29, 2019","Good for beginner but does not go too far or deep",4,""
"R20RZ5QNLXDI9T","CxegCfiJjXRfuN9","
  Let me preface this review by saying that I have zero programming experience. I'm only four chapters into the book and I gotta say - Python is finally making sense to me! I've tried reading ""Automate the Boring Stuff with Python"" and I have no doubt that it's a good book. However, for me, it was not a good starting point and I found myself lost trying to read through the first few chapters - maybe I'll re-read ""Automate the Boring Stuff with Python"" afterwards after I finish ""Python Crash Course"". I'll do a follow-up review of this book when I'm done, but that won't be for a while; I'm going at my own pace and ensuring that I understand each topic and lesson. This book is worth the money if you want to learn Python!
","Reviewed in the United States on February 9, 2020","Worth Every Penny!",5,""
"R11G5DTHHDQWAD","Ahmed Jassim Buhassan","
  I have taken many online course for python, however, as a beginner in the software development, I could not comprehend. This book guided me step by step to understand and apply various python concepts. Additionally, it has some exercises that you have to do in order to solidify you understanding. All answers are available online in case you got stuck.
","Reviewed in the United States on August 6, 2019","Easy to understand",5,""
"R1GEPJAGWZO2SM","Emily Casillas","
  I was recommended this book by my computer science professor for a C++ class. I wanted to learn python on my own and I can say, it's a very easy book to follow, especially compared to C++. I highly recommend it to anyone wanting to learn python l.
","Reviewed in the United States on May 13, 2019","Great book for python.",5,""
"R1G9CVIGX3IR6B","David L.","
  The contents of the book are better than its manufactured quality.  Sadly, less than a week after receiving it, the cover came free of the rest of the book. It  was apparently only held on by two narrow strips of glue on the first and last pages, and no glue holding it to the actual spine!The book contents itself are pretty good, but it does stay fairly simple. I bought the book because of the format of the examples, with code, point by point descriptions of the code elements, and then the output.  Some of the examples don't go very deep. I was looking at loop iterations, and the book really only covered using them with a print statement, though I was hoping for how to set variables and perform calculations according to current list value.
","Reviewed in the United States on June 24, 2019","Not bad, but some disappointment",4,""
"R1GFEEVA2BFHUP","Stephen R. Roberts","
  I write firmware/software professionally in C/C++/C#.  Recently I started learning Python and BASH.  Got this book to learn Python, the book was a bit long winded. If I was a newbie I'd want it to be wordy.If you're a pro trying to pick up Python as new language in your arsenal, you'll have to read through a lot of fluff that you'd learn in your intro the programming classes in college.  The information isn't wrong, and the examples work, but....man...it's a long read.  I believe the book could probably be cut in half if the author removed the fluff.Why the 3 stars?  Most books about learning have all the basics listed in a single chapter, so people with experience can just read it real quick and move on to the more complex ideas.  This book interweaves the basics through out the entire book, which for me was a mind boring read (IMHO).
","Reviewed in the United States on January 14, 2021","Truely for the person that doesn't know how to program",3,""
"R3NY3KXV8N46K7","Owen C. Marshall","
  With the lockdown from the global pandemic, I have been forced to work from home like many other people. Since my usual job involved supporting hardware, this meant I was going to be stuck! Fortunately, my boss said that if I could spend my time learning skills useful to the lab, I could count the hours doing that. I asked whether learning Python would count. I told him that I would try to create scripts to monitor my hardware from home. He said that was acceptable.I have some programming experience, but it has been years since I coded, and then it was usually for relatively basic tasks in undergrad. I was looking for something that would not insult my intelligence, but that would still be interesting enough to keep me on task. So, after searching around I found this book. I saw the highly rated reviews. I skimmed the language that the author used in the sample. I read the table of contents and saw that the second part of the book consisted of creating games in order to solidify the skills learned.Yes! This sounded perfect.I have not been disappointed.The book walks the reader through setting up (checking if Python is on the computer already, downloading it if necessary, using an IDE and what that is, etc). And then it moves on to the usual basic programming. The writing is clear. I had no problems with the examples and found the practice problems to be well chosen. I also liked the way that the author encouraged good practices such as documentation and testing.I am currently in Part 2 of the book and have been working on the first project, a game called Alien Invasion which is basically a version of Space Invaders. I am definitely enjoying that. And I can see how some of the skills I learn from this could transfer over into monitoring my equipment. Reading files, taking user input, opening windows, drawing on the screen, making calculations, all of these things are necessary for the game, and for my own goals.I personally never had any problems, but I also noticed that the author's website includes cheat sheets, solutions, and errata, not to mention the files suggested for the projects.I am not sure if this book is for an absolute beginner. My experience is too far from that for me to be a good judge. But I can say that a person with basic programming knowledge and no prior knowledge of Python found it to be a great resource.
","Reviewed in the United States on May 7, 2020","Easy to Follow, Good Intro for Self Learner",5,""
"RMD01FCV711VE","Adrian Z.","
  I like that this book remains the same yet the code had been cleaned up, updating it.
","Reviewed in the United States on May 26, 2019","Excellent book! Had been updated and made better!",5,""
